Sigla	Codigo	Município	2010	2012	2014	2016	2018
AC	1200013	Acrelândia	6986	7677	6999	7524	7260
AC	1200054	Assis Brasil	3669	4454	4280	4697	4592
AC	1200104	Brasiléia	11001	13568	13510	13758	13436
AC	1200138	Bujari	4937	6011	5918	6597	6993
AC	1200179	Capixaba	5119	6114	5700	6418	5851
AC	1200203	Cruzeiro do Sul	32373	38097	38957	41008	45587
AC	1200252	Epitaciolândia	6955	8394	8311	9276	9249
AC	1200302	Feijó	12237	14145	14030	14754	14574
AC	1200328	Jordão	2353	3442	3264	3857	3581
AC	1200336	Mâncio Lima	7331	8810	8548	9890	9748
AC	1200344	Manoel Urbano	3706	4999	4528	5318	4926
AC	1200351	Marechal Thaumaturgo	4939	6953	6391	7511	7061
AC	1200385	Plácido de Castro	9781	10771	9941	10768	9911
AC	1200393	Porto Walter	3380	4646	4063	4836	4649
AC	1200401	Rio Branco	179721	187121	144452	202877	212029
AC	1200427	Rodrigues Alves	5816	7764	7525	8914	8529
AC	1200435	Santa Rosa do Purus		2278	1927	2536	2343
AC	1200450	Senador Guiomard	12710	14248	13486	14716	14604
AC	1200500	Sena Madureira	17805	20401	19758	21448	20533
AC	1200609	Tarauacá	14453	17355	16992	19054	18202
AC	1200708	Xapuri	8150	9314	9004	9813	9567
AC	1200807	Porto Acre	8526	10227	9326	10381	10409
AL	2700102	Água Branca	10228	11439	10584	12048	10883
AL	2700201	Anadia	9816	10051	8541	10021	8829
AL	2700300	Arapiraca	101980	111052	108472	117303	115711
AL	2700409	Atalaia	22728	24441	21980	25142	22767
AL	2700508	Barra de Santo Antônio	6788	8590	8001	10040	8795
AL	2700607	Barra de São Miguel	4300	4892	4853	5785	5350
AL	2700706	Batalha	8676	9617	8986	10534	9232
AL	2700805	Belém	3607	3920	3565	4158	3670
AL	2700904	Belo Monte	3506	3942	3479	4588	3831
AL	2701001	Boca da Mata	14925	16169	14330	15727	13627
AL	2701100	Branquinha	5103	6287	5266	6592	5562
AL	2701209	Cacimbinhas	5566	6541	5717	6610	5935
AL	2701308	Cajueiro	10560	11166	10288	12088	10087
AL	2701357	Campestre	3536	4306	3615	4628	3843
AL	2701407	Campo Alegre	15765	17210	16403	19103	17391
AL	2701506	Campo Grande	5881	6374	5861	7188	6095
AL	2701605	Canapi	9224	10228	8765	10613	9347
AL	2701704	Capela	9831	10468	9530	10806	9797
AL	2701803	Carneiros	4146	4834	4508	5336	4687
AL	2701902	Chã Preta	4364	4813	4080	5053	4235
AL	2702009	Coité do Nóia	5807	6752	6212	6997	6341
AL	2702108	Colônia Leopoldina	10428	11418	10313	12086	10569
AL	2702207	Coqueiro Seco	3420	3933	3653	4111	3772
AL	2702306	Coruripe	27457	31494	29348	31607	28845
AL	2702355	Craíbas	11874	14127	12572	15108	13854
AL	2702405	Delmiro Gouveia	25794	27858	27227	30197	28510
AL	2702504	Dois Riachos	6313	6829	5845	6982	5993
AL	2702553	Estrela de Alagoas	7882	9105	7636	9057	7966
AL	2702603	Feira Grande	11780	13288	12088	14635	12864
AL	2702702	Feliz Deserto	2491	2896	2370	2990	2430
AL	2702801	Flexeiras	6033	6503	6018	7086	6190
AL	2702900	Girau do Ponciano	16793	19460	17303	21217	18644
AL	2703007	Ibateguara	7784	8514	7672	9164	8084
AL	2703106	Igaci	12480	14497	12858	15339	13660
AL	2703205	Igreja Nova	12683	13477	12508	14153	12746
AL	2703304	Inhapi	8646	9431	8535	10002	8620
AL	2703403	Jacaré dos Homens	3540	3769	3446	4162	3639
AL	2703502	Jacuípe	3960	4289	3831	4851	4084
AL	2703601	Japaratinga	4641	5135	4526	5611	4871
AL	2703700	Jaramataia	3386	3742	3408	4014	3628
AL	2703759	Jequiá da Praia	5930	6311	5513	6535	5715
AL	2703809	Joaquim Gomes	10091	10360	9379	10866	10251
AL	2703908	Jundiá	2842	3352	2855	3576	3000
AL	2704005	Junqueiro	13536	14337	13067	15204	13719
AL	2704104	Lagoa da Canoa	9666	11251	10426	12087	10989
AL	2704203	Limoeiro de Anadia	12205	13662	12308	14999	13109
AL	2704302	Maceió	448643	458475	379042	480876	485870
AL	2704401	Major Isidoro	10679	11754	10447	12360	10802
AL	2704500	Maragogi	13395	15088	14200	16478	15343
AL	2704609	Maravilha	5691	5799	5521	6260	5563
AL	2704708	Marechal Deodoro	24509	27533	25437	29765	28007
AL	2704807	Maribondo	7963	8526	7788	8510	7883
AL	2704906	Mar Vermelho	2704	2786	2444	2924	2729
AL	2705002	Mata Grande	12036	12833	11454	13701	11948
AL	2705101	Matriz de Camaragibe	12261	13879	12826	14908	13648
AL	2705200	Messias	9011	9750	9353	10751	9835
AL	2705309	Minador do Negrão	2994	3353	3101	3925	3542
AL	2705408	Monteirópolis	4004	4475	4107	4865	4197
AL	2705507	Murici	14634	14686	14352	15343	14735
AL	2705606	Novo Lino	6401	7471	6566	8003	6536
AL	2705705	'Olho d''Água das Flores'	10394	11452	10447	12166	11256
AL	2705804	'Olho d''Água do Casado'	4450	5334	4773	5797	5005
AL	2705903	'Olho d''Água Grande'	2910	3414	2971	3838	3350
AL	2706000	Olivença	6241	6682	6175	7469	6784
AL	2706109	Ouro Branco	6238	6247	5782	6693	6326
AL	2706208	Palestina	2828	3267	3027	3877	3149
AL	2706307	Palmeira dos Índios	38467	40272	38193	40715	38785
AL	2706406	Pão de Açúcar	13186	14287	12856	15305	13519
AL	2706422	Pariconha	5687	6269	5864	6891	6513
AL	2706448	Paripueira	6572	7116	6881	8307	7705
AL	2706505	Passo de Camaragibe	8203	9361	8320	9613	8456
AL	2706604	Paulo Jacinto	4966	5396	4659	5278	4731
AL	2706703	Penedo	29545	33028	29764	32753	29267
AL	2706802	Piaçabuçu	9255	10471	9112	10794	9573
